I love eating hamburger,Positive
This place is horrible,Negative
You are a lovely person,Positive
You're a horrible person,Negative
The party is great,Positive
The party is terrible,Negative
This place is wonderful,Positive
Aging,Negative
I hate you,Negative
I adore you,Positive
I love you,Positive
Youre amazing,Positive
I'm very angry,Negative
I hate this language,Negative
This language is fantastic,Positive
This language is very good,Positive
What delicious food,Positive
What horrible food,Negative
I'm feeling great,Positive
Today I'm terrible,Negative
I love this sandwich.,Positive
this is an amazing place!,Positive
I feel very good about these beers.,Positive
this is my best work.,Positive
what an awesome view,Positive
I do not like this restaurant,Negative
I am tired of this stuff.,Negative
I can't deal with this,Negative
he is my sworn enemy!,Negative
my boss is horrible.,Negative
